date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-09-06,Confirmed,128,5,metro,224.28571428571428,4.714285714285714
2020-09-07,Confirmed,133,4,metro,205.14285714285714,4.714285714285714
2020-09-08,Confirmed,276,5,metro,196.57142857142858,4.428571428571429
2020-09-09,Confirmed,224,3,metro,195.0,4.142857142857143
2020-09-10,Confirmed,227,3,metro,197.0,3.7142857142857144
2020-09-11,Confirmed,213,4,metro,198.14285714285714,3.857142857142857
2020-09-12,Confirmed,190,2,metro,198.71428571428572,3.7142857142857144
2020-09-13,Confirmed,172,4,metro,205.0,3.5714285714285716
2020-09-14,Confirmed,234,5,metro,219.42857142857142,3.7142857142857144
2020-09-15,Confirmed,238,5,metro,214.0,3.7142857142857144
2020-09-16,Confirmed,232,3,metro,215.14285714285714,3.7142857142857144
2020-09-17,Confirmed,224,5,metro,214.71428571428572,4.0
2020-09-18,Confirmed,232,9,metro,217.42857142857142,4.714285714285714
2020-09-19,Confirmed,170,3,metro,214.57142857142858,4.857142857142857
2020-09-20,Confirmed,156,3,metro,212.28571428571428,4.714285714285714
2020-09-21,Confirmed,319,2,metro,224.42857142857142,4.285714285714286
2020-09-22,Confirmed,270,3,metro,229.0,4.0
2020-09-23,Confirmed,277,3,metro,235.42857142857142,4.0
2020-09-24,Confirmed,212,3,metro,233.71428571428572,3.7142857142857144
2020-09-25,Confirmed,231,7,metro,233.57142857142858,3.4285714285714284
2020-09-26,Confirmed,206,3,metro,238.71428571428572,3.4285714285714284
2020-09-27,Confirmed,197,3,metro,244.57142857142858,3.4285714285714284
2020-09-28,Confirmed,283,3,metro,239.42857142857142,3.5714285714285716
2020-09-29,Confirmed,239,5,metro,235.0,3.857142857142857
2020-09-30,Confirmed,230,4,metro,228.28571428571428,4.0
2020-10-01,Confirmed,240,7,metro,232.28571428571428,4.571428571428571
2020-10-02,Confirmed,261,4,metro,236.57142857142858,4.142857142857143
2020-10-03,Confirmed,219,2,metro,238.42857142857142,4.0
2020-10-04,Confirmed,219,5,metro,241.57142857142858,4.285714285714286
2020-10-05,Confirmed,347,5,metro,250.71428571428572,4.571428571428571
2020-10-06,Confirmed,368,6,metro,269.14285714285717,4.714285714285714
2020-10-07,Confirmed,419,5,metro,296.14285714285717,4.857142857142857
2020-10-08,Confirmed,375,6,metro,315.42857142857144,4.714285714285714
2020-10-09,Confirmed,410,5,metro,336.7142857142857,4.857142857142857
2020-10-10,Confirmed,327,6,metro,352.14285714285717,5.428571428571429
2020-10-11,Confirmed,338,4,metro,369.14285714285717,5.285714285714286
2020-10-12,Confirmed,441,4,metro,382.57142857142856,5.142857142857143
2020-10-13,Confirmed,448,5,metro,394.0,5.0
2020-10-14,Confirmed,488,6,metro,403.85714285714283,5.142857142857143
2020-10-15,Confirmed,411,4,metro,409.0,4.857142857142857
2020-10-16,Confirmed,443,12,metro,413.7142857142857,5.857142857142857
2020-10-17,Confirmed,380,3,metro,421.2857142857143,5.428571428571429
2020-10-18,Confirmed,376,3,metro,426.7142857142857,5.285714285714286
2020-10-19,Confirmed,690,10,metro,462.2857142857143,6.142857142857143
2020-10-20,Confirmed,675,13,metro,494.7142857142857,7.285714285714286
2020-10-21,Confirmed,690,7,metro,523.5714285714286,7.428571428571429
2020-10-22,Confirmed,737,3,metro,570.1428571428571,7.285714285714286
2020-10-23,Confirmed,733,7,metro,611.5714285714286,6.571428571428571
2020-10-24,Confirmed,651,5,metro,650.2857142857143,6.857142857142857
2020-10-25,Confirmed,602,7,metro,682.5714285714286,7.428571428571429
2020-10-26,Confirmed,1099,6,metro,741.0,6.857142857142857
2020-10-27,Confirmed,1065,3,metro,796.7142857142857,5.428571428571429
2020-10-28,Confirmed,1156,7,metro,863.2857142857143,5.428571428571429
2020-10-29,Confirmed,1066,6,metro,910.2857142857143,5.857142857142857
2020-10-30,Confirmed,1223,10,metro,980.2857142857143,6.285714285714286
2020-10-31,Confirmed,921,7,metro,1018.8571428571429,6.571428571428571
2020-11-01,Confirmed,974,7,metro,1072.0,6.571428571428571
2020-11-02,Confirmed,1792,11,metro,1171.0,7.285714285714286
2020-11-03,Confirmed,1768,10,metro,1271.4285714285713,8.285714285714286
2020-11-04,Confirmed,1993,15,metro,1391.0,9.428571428571429
2020-11-05,Confirmed,1973,7,metro,1520.5714285714287,9.571428571428571
2020-11-06,Confirmed,1923,12,metro,1620.5714285714287,9.857142857142858
2020-11-07,Confirmed,1535,11,metro,1708.2857142857142,10.428571428571429
2020-11-08,Confirmed,1522,11,metro,1786.5714285714287,11.0
2020-11-09,Confirmed,2700,16,metro,1916.2857142857142,11.714285714285714
2020-11-10,Confirmed,2564,16,metro,2030.0,12.571428571428571
2020-11-11,Confirmed,2436,13,metro,2093.285714285714,12.285714285714286
2020-11-12,Confirmed,2537,17,metro,2173.8571428571427,13.714285714285714
2020-11-13,Confirmed,2394,7,metro,2241.1428571428573,13.0
