date,case_status,cases,deaths,county,cases_rolling,deaths_rolling
2020-11-07,Confirmed,1419,11,tricounty,1586.4285714285713,10.142857142857142
2020-11-08,Confirmed,1398,11,tricounty,1659.142857142857,10.714285714285714
2020-11-09,Confirmed,2488,16,tricounty,1776.5714285714287,11.428571428571429
2020-11-10,Confirmed,2374,15,tricounty,1881.2857142857142,12.142857142857142
2020-11-11,Confirmed,2213,10,tricounty,1932.142857142857,11.571428571428571
2020-11-12,Confirmed,2346,17,tricounty,2005.857142857143,13.142857142857142
2020-11-13,Confirmed,2177,7,tricounty,2059.285714285714,12.428571428571429
2020-11-14,Confirmed,1588,5,tricounty,2083.4285714285716,11.571428571428571
2020-11-15,Confirmed,1268,13,tricounty,2064.8571428571427,11.857142857142858
2020-11-16,Confirmed,2494,12,tricounty,2065.714285714286,11.285714285714286
2020-11-17,Confirmed,2126,18,tricounty,2030.2857142857142,11.714285714285714
2020-11-18,Confirmed,2288,22,tricounty,2041.0,13.428571428571429
2020-11-19,Confirmed,2270,12,tricounty,2030.142857142857,12.714285714285714
2020-11-20,Confirmed,2262,24,tricounty,2042.2857142857142,15.142857142857142
2020-11-21,Confirmed,1375,29,tricounty,2011.857142857143,18.571428571428573
2020-11-22,Confirmed,1177,13,tricounty,1998.857142857143,18.571428571428573
2020-11-23,Confirmed,2499,22,tricounty,1999.5714285714287,20.0
2020-11-24,Confirmed,2042,30,tricounty,1987.5714285714287,21.714285714285715
2020-11-25,Confirmed,1862,11,tricounty,1926.7142857142858,20.142857142857142
2020-11-26,Confirmed,384,6,tricounty,1657.2857142857142,19.285714285714285
2020-11-27,Confirmed,926,10,tricounty,1466.4285714285713,17.285714285714285
2020-11-28,Confirmed,478,6,tricounty,1338.2857142857142,14.0
2020-11-29,Confirmed,241,2,tricounty,1204.5714285714287,12.428571428571429
2020-11-30,Confirmed,298,18,tricounty,890.1428571428571,11.857142857142858
2020-12-01,Confirmed,23,3,tricounty,601.7142857142857,8.0
